temperature,eDensity,gofnt
501187.2336272725,1000000000.0,1.0429454897089582e-27
525300.922235397,1000000000.0,1.6775042178618654e-27
550574.7959784886,1000000000.0,2.6109879314847325e-27
577064.6749995912,1000000000.0,3.938207543348622e-27
604829.0651237764,1000000000.0,5.762877343234366e-27
633929.2870747296,1000000000.0,8.188740448405086e-27
664429.61190834,1000000000.0,1.1307050878010276e-26
696397.4029624328,1000000000.0,1.517591930041946e-26
729903.2646361388,1000000000.0,1.9801334553586723e-26
765021.19832752,1000000000.0,2.5106526642253584e-26
801828.7658738301,1000000000.0,3.09090834404671e-26
840407.2608554034,1000000000.0,3.690907895596372e-26
880841.8881415128,1000000000.0,4.267991455602552e-26
923221.9520747317,1000000000.0,4.7710477815375224e-26
967641.0537094537,1000000000.0,5.1466894421131454e-26
1014197.2975401576,1000000000.0,5.347777556652748e-26
1062993.5081760285,1000000000.0,5.343763647903679e-26
1114137.4574404613,1000000000.0,5.1286409235700414e-26
1167742.1023970542,1000000000.0,4.7221309398367017e-26
1223925.834827758,1000000000.0,4.1683598123907654e-26
1282812.7427142137,1000000000.0,3.525926337860099e-26
1344532.8842997623,1000000000.0,2.856021498550724e-26
1409222.5753374626,1000000000.0,2.2131592421313506e-26
1477024.690158485,1000000000.0,1.6389806436622578e-26
1548088.9772258627,1000000000.0,1.1584262611875287e-26
1622572.3898705235,1000000000.0,7.802977616784814e-27
1700639.4329400521,1000000000.0,4.99571443118967e-27
1782462.5261258448,1000000000.0,3.028391453020057e-27
1868222.3847710367,1000000000.0,1.73244875998754e-27
1958108.4190003115,1000000000.0,9.340175210444376e-28
2052319.1520530963,1000000000.0,4.742981010476666e-28
2151062.6587440567,1000000000.0,2.279824396753646e-28
2254557.0250193435,1000000000.0,1.0468923038527367e-28
2363030.8296234924,1000000000.0,4.6378237912652264e-29
2476723.6489408244,1000000000.0,2.0042795225832918e-29
2595886.586126396,1000000000.0,8.543019581552802e-30
2720782.8256950434,1000000000.0,3.619955327538602e-30
2851688.2147934726,1000000000.0,1.5341347524254661e-30
2988891.8724391717,1000000000.0,6.534035406609547e-31
3132696.828071686,1000000000.0,2.803609115621526e-31
3283420.6908266563,1000000000.0,1.2143420745038504e-31
3441396.3510106686,1000000000.0,5.313625572512235e-32
3606972.7153262887,1000000000.0,2.3494475383944237e-32
3780515.4774710797,1000000000.0,1.0496961998340509e-32
3962407.92581251,1000000000.0,4.7373551013935624e-33
4153051.789922715,1000000000.0,2.1586587241513867e-33
4352868.127842631,1000000000.0,9.92211980143353e-34
4562298.256035178,1000000000.0,4.5954113722290685e-34
4781804.724081485,1000000000.0,2.1421631872503712e-34
5011872.336272725,1000000000.0,1.003869116828328e-34
501187.2336272725,3020408163.2653065,1.6854152116262808e-27
525300.922235397,3020408163.2653065,2.7204817663085065e-27
550574.7959784886,3020408163.2653065,4.2487036696318874e-27
577064.6749995912,3020408163.2653065,6.429134469363319e-27
604829.0651237764,3020408163.2653065,9.436900351269853e-27
633929.2870747296,3020408163.2653065,1.3448629499775223e-26
664429.61190834,3020408163.2653065,1.8621618196608268e-26
696397.4029624328,3020408163.2653065,2.5059249912666392e-26
